	(1)	(2)
	[0.047]	[0.028]
_Ibgypalfsi_76	0.206	-0.055*
	[0.268]	[0.028]
_Ibgypalfsi_77	-0.087*	-0.045
	[0.046]	[0.030]
_Ibgypalfsi_78	-0.150***	-0.056*
	[0.044]	[0.030]
_Ibgypalfsi_79	-0.099**	-0.046
	[0.046]	[0.031]
_Ibgypalfsi_80	-0.119***	-0.048*
	[0.045]	[0.028]
_Ibgypalfsi_81	-0.003	-0.037
	[0.061]	[0.035]
_Ibgypalfsi_82	-0.122***	-0.055*
	[0.045]	[0.030]
bg_BLONLY_2040	0.012	-0.003
	[0.014]	[0.007]
female	-0.003	0.000
	[0.010]	[0.004]
resp_age	0.001	-0.000
	[0.001]	[0.000]
hsgrad	-0.006	-0.002
	[0.011]	[0.005]
somevoc	0.010	0.004
	[0.014]	[0.006]
colgradplus	0.038**	0.002
	[0.018]	[0.007]
interested	0.003	0.000
	[0.011]	[0.005]
risks	-0.002	-0.001
	[0.002]	[0.001]
hhincome	0.000*	-0.000
	[0.000]	[0.000]
hhsavings	0.000	0.000
	[0.000]	[0.000]
zerohhsavings	0.027**	0.008*
	[0.012]	[0.005]
everloan	-0.005	-0.004
	[0.009]	[0.004]
normassetcount	0.001	-0.002
	[0.006]	[0.002]
immabroad	0.007	-0.008*
	[0.015]	[0.005]
extabroad	-0.014	-0.002
	[0.009]	[0.004]
o.edflag	-	-
		
mflag_hsgrad	0.876***	-0.040*
	[0.044]	[0.021]
o.mflag_somevoc	-	-
		
o.mflag_colgradplus	-	-
		
o.mflag_interested	-	-
		
mflag_risks	-0.089***	-0.025***
	[0.019]	[0.009]
mflag_hhincome	0.069	-0.015***
	[0.046]	[0.005]
mflag_hhsavings	0.021	-0.000
	[0.024]	[0.007]
o.mflag_zerohhsavings	-	-
		
mflag_everloan	-0.074**	-0.023
	[0.032]	[0.015]
o.mflag_normasset	-	-
		
mflag_immabroad	-0.080**	-0.003
	[0.032]	[0.008]
o.mflag_extabroad	-	-
		
		
Observations	4,153	4,153
R-squared	0.033	0.017
mean	0.0915	0.0140
p-value	0.667	0.0305
